ID,AvailableHours,SkillLevel,Skills
0,10,9,"A B C"
1,11,8,"A"
2,12,4,"A B C"
3,8,9,"C"
4,19,3,"B"
5,15,8,"A"
6,18,4,"A B C"
7,15,8,"A B C"
8,19,2,"A B C"
9,9,4,"A C"
10,16,7,"A C"
11,10,6,"A B C"
12,8,9,"A B C"
13,11,4,"A B C"
14,8,7,"A B C"
15,15,7,"B C"
16,11,9,"A B"
17,19,7,"A B C"
18,15,4,"A B"
19,17,8,"B C"
20,12,4,"A B C"
21,18,3,"A"
22,11,8,"A C"
23,7,4,"B C"
24,14,2,"A C"
25,16,8,"A"
26,14,8,"B"
27,19,5,"A"
28,10,1,"A B C"
29,17,3,"A C"
30,12,8,"A B C"
31,10,5,"B C"
32,13,3,"A B"
33,8,2,"A"
34,10,5,"B"
35,8,9,"A B C"
36,8,4,"A C"
37,10,5,"B C"
38,10,9,"B"
39,8,2,"A B"
40,16,7,"B C"
41,16,2,"B"
42,12,9,"A B C"
43,17,6,"A B"
44,11,9,"A"
45,16,9,"A"
46,15,3,"A B"
47,11,4,"B"
48,10,7,"A"
49,16,7,"A B"
50,16,5,"A"
51,7,4,"A C"
52,11,9,"C"
53,19,4,"C"
54,16,1,"A B C"
55,12,7,"C"
56,17,6,"A B"
57,18,9,"A B C"
58,15,9,"A B"
59,11,4,"A B C"
60,11,4,"A B C"
61,13,8,"B C"
62,15,7,"A B"
63,12,9,"B"
64,8,8,"A B C"
65,19,5,"C"
66,17,1,"B"
67,8,7,"A B"
68,17,5,"A C"
69,11,7,"A B"
70,11,1,"C"
71,11,2,"A C"
72,19,4,"A C"
73,19,1,"C"
74,12,5,"A C"
75,11,8,"A B C"
76,15,8,"B"
77,19,9,"C"
78,8,4,"A B"
79,12,4,"A B C"
80,13,9,"A C"
81,9,4,"B"
82,10,7,"A C"
83,9,4,"A"
84,12,3,"A B"
85,18,3,"A B C"
86,17,1,"C"
87,11,5,"A"
88,14,2,"B C"
89,10,7,"C"
90,19,5,"A B C"
91,12,4,"A B C"
92,7,2,"B C"
93,13,5,"A C"
94,9,1,"A C"
95,17,6,"A B"
96,8,8,"A B C"
97,13,6,"A"
98,9,4,"A B"
99,18,7,"A B C"
100,12,2,"A B C"
101,8,5,"B C"
102,10,6,"A"
103,11,3,"C"
104,11,5,"A B C"
105,19,2,"A C"
106,19,2,"A B C"
107,17,4,"A B C"
108,11,4,"A"
109,12,4,"A C"
110,9,4,"C"
111,13,8,"A C"
112,16,8,"A B"
113,17,3,"A B C"
114,11,6,"A B C"
115,8,9,"A C"
116,10,7,"A B C"
117,18,3,"A"
118,18,3,"A"
119,9,9,"C"
120,11,9,"B C"
121,19,6,"A B C"
122,14,1,"A B C"
123,7,4,"B C"
124,18,1,"A B C"
125,9,8,"A"
126,15,2,"B C"
127,15,9,"A B C"
128,8,1,"A B"
129,7,7,"A B C"
130,7,3,"B"
131,15,8,"B"
132,13,3,"A B"
133,7,2,"C"
134,11,4,"A"
135,9,1,"A C"
136,9,8,"A B C"
137,13,2,"C"
138,15,8,"A B C"
139,12,5,"A B"
140,8,4,"C"
141,9,9,"A B"
142,9,4,"A C"
143,14,5,"A"
144,9,7,"A B C"
145,9,9,"A B C"
146,7,3,"A B"
147,8,1,"A B"
148,7,4,"B"
149,8,8,"A B C"
150,18,8,"B C"
151,8,6,"A B C"
152,14,2,"A C"
153,11,8,"A"
154,11,1,"C"
155,8,8,"B"
156,13,9,"B"
157,19,4,"C"
158,12,4,"A B"
159,13,9,"A B"
160,13,4,"A B C"
161,19,3,"A B C"
162,15,8,"C"
163,9,1,"A B"
164,9,5,"A B"
165,12,4,"C"
166,7,2,"B C"
167,14,2,"B"
168,11,7,"B C"
169,17,4,"A C"
170,8,9,"A B C"
171,10,9,"A B C"
172,12,8,"B C"
173,13,6,"A C"
174,8,4,"A C"
175,15,8,"A B"
176,12,5,"A B C"
177,13,3,"A"
178,12,5,"A B C"
179,15,5,"A B C"
180,8,8,"B"
181,9,4,"A B C"
182,7,4,"A C"
183,9,6,"B C"
184,8,4,"B C"
185,18,7,"B C"
186,8,2,"A B"
187,14,5,"C"
188,13,9,"C"
189,10,3,"C"
190,11,9,"A"
191,18,9,"A B C"
192,15,6,"B"
193,16,8,"C"
194,14,7,"A B"
195,10,6,"C"
196,15,3,"B C"
197,17,9,"A B"
198,12,4,"A B"
199,17,5,"A B C"
200,15,2,"C"
201,10,8,"A"
202,16,8,"A C"
203,11,1,"A B C"
204,16,7,"A B C"
205,7,3,"A B C"
206,18,8,"A B C"
207,17,5,"A C"
208,10,1,"B"
209,15,2,"C"
210,13,6,"B C"
211,10,6,"B C"
212,11,2,"A B C"
213,11,9,"A B C"
214,19,7,"A B C"
215,15,1,"A B C"
216,11,8,"A B C"
217,7,8,"A B"
218,18,7,"A B C"
219,8,8,"B C"
220,15,7,"A B C"
221,18,8,"B C"
222,9,8,"B C"
223,16,5,"A B"
224,7,6,"B C"
225,14,1,"A B C"
226,12,5,"C"
227,13,9,"B"
228,12,7,"A B C"
229,8,5,"A B C"
230,11,7,"B C"
231,18,2,"A B C"
232,13,6,"A"
233,19,2,"B C"
234,7,9,"A B"
235,7,8,"A"
236,10,5,"A B C"
237,7,3,"A B"
238,19,1,"A B C"
239,13,2,"A C"
240,9,1,"A B C"
241,14,2,"A"
242,19,8,"A B"
243,18,2,"A B"
244,15,3,"A C"
245,11,8,"A"
246,16,7,"C"
247,19,4,"A B"
248,8,4,"A B C"
249,14,1,"A B C"
250,16,8,"A C"
251,14,9,"B"
252,18,5,"B"
253,16,2,"C"
254,17,8,"A B"
255,18,5,"A B"
256,8,5,"A B C"
257,10,8,"A B C"
258,18,7,"A B C"
259,14,8,"A B C"
260,12,5,"A B C"
261,11,3,"B"
262,16,3,"C"
263,8,8,"A B"
264,15,1,"A B C"
265,18,7,"A"
266,10,2,"A B C"
267,9,3,"A C"
268,11,1,"A B C"
269,14,4,"A C"
270,17,5,"B"
271,13,6,"A B C"
272,15,9,"A"
273,13,7,"A B"
274,17,8,"B C"
275,17,1,"A C"
276,15,7,"A C"
277,18,2,"C"
278,12,8,"A B C"
279,15,9,"A"
280,15,3,"A B C"
