ID,EstimatedTime,Difficulty,Deadline,RequiredSkill
0,9,2,25,A
1,1,1,8,C
2,6,7,2,B
3,7,9,19,C
4,7,1,12,C
5,4,9,7,C
6,2,4,23,C
7,7,2,6,C
8,5,7,2,C
9,6,2,6,A
10,8,8,21,B
11,8,8,26,A
12,9,8,24,C
13,1,3,24,C
14,4,7,24,A
15,7,4,24,B
16,1,5,17,B
17,8,6,12,A
18,2,3,10,B
19,8,9,21,A
20,7,3,20,B
21,1,9,5,B
22,3,1,26,B
23,6,6,19,A
24,9,2,16,B
25,1,5,26,A
26,7,4,5,A
27,2,5,26,C
28,5,5,24,A
29,3,5,9,B
30,6,2,26,C
31,7,7,20,C
32,8,4,25,A
33,3,7,13,B
34,6,6,25,B
35,7,4,7,C
36,5,7,21,C
37,9,9,21,B
38,3,2,4,C
39,9,3,7,C
40,4,3,5,A
41,2,6,23,A
42,9,4,12,A
43,5,8,27,B
44,6,5,24,C
45,3,4,7,A
46,2,3,17,B
47,6,9,9,A
48,8,9,23,C
49,5,1,5,C
50,2,2,11,B
51,1,7,3,B
52,5,7,2,B
53,6,2,1,A
54,3,6,6,A
55,4,6,21,C
56,9,7,11,B
57,3,9,3,C
58,2,2,16,A
59,9,9,29,A
60,4,8,15,C
61,4,1,5,A
62,6,4,20,B
63,8,1,27,B
64,4,2,14,B
65,3,8,10,A
66,2,2,2,C
67,3,1,21,B
68,4,6,9,B
69,2,8,11,A
70,7,8,20,C
71,6,5,27,B
72,6,3,8,B
73,6,2,7,C
74,4,7,12,B
75,6,2,12,C
76,9,8,28,C
77,5,2,28,A
78,3,9,27,B
79,2,3,2,C
80,2,1,28,B
81,2,9,10,B
82,9,2,14,C
83,7,6,5,A
84,6,1,15,B
85,8,6,9,A
86,2,6,24,A
87,4,7,2,C
88,8,2,14,B
89,8,6,3,B
90,4,8,4,C
91,9,3,11,A
92,4,8,8,B
93,7,2,14,A
94,7,5,17,C
95,9,9,28,A
96,9,7,16,C
97,4,8,22,A
98,3,9,13,A
99,6,5,11,A
